created_at;favorite_count;full_text;quote_count;reply_count;retweet_count;author;day;month;reply_dummy
Wed Apr 28 14:44:17 +0000 2021;2938;Me he reunido con PC por iniciativa absolutamente personal para expresarle mis profundas preocupaciones sobre su Plan. https://t.co/td28MdVURp;179;996;429;HDS;28;4;0
Wed Apr 28 11:51:01 +0000 2021;6457;Les presento mi segundo pronunciamiento sobre las candidaturas al día de hoy. https://t.co/KGECWK7Vd4;798;2150;943;HDS;28;4;0
Mon Apr 26 20:00:30 +0000 2021;1549;"Propongo que los candidatos mejoren sus propuestas.
https://t.co/jXcTT35aVC";198;1316;145;HDS;26;4;0
Sun Apr 25 18:40:07 +0000 2021;1759;Esta noche fijaré mi posición inicial con relación a la Segunda Vuelta en el Programa Agenda Política de Enrique Castillo.  Hoy 25 de abril de 2021 a las 7pm. https://t.co/W3c3JsUcpD;173;967;224;HDS;25;4;0
Fri Apr 23 00:15:49 +0000 2021;526;A partir de esta fecha y atendiendo a la solicitud de muchos gremios y organizaciones populares que vienen sumándose al Pacto Social, he designado como coordinadores e interlocutores con mi persona a los señores Román Miú, Julio Pardavé y el General (R) Marco Miyashiro.;3;79;28;HDS;23;4;1
Fri Apr 23 00:15:49 +0000 2021;1107;Hernando de Soto nombra a Román Miú, Julio Pardavé y al General (R) Marco Miyashiro como coordinadores del Pacto Social.;38;284;73;HDS;23;4;0
Thu Apr 22 23:48:27 +0000 2021;718;Luego de consultar con virtuales congresistas de mi partido, considerando la necesidad de establecer vinculo entre mi persona, la bancada y la opinión publica, he designado al Gral. (R) José Williams como vocero de la bancada e interlocutor entre mi persona y los congresistas.;14;61;49;HDS;22;4;1
Thu Apr 22 23:48:27 +0000 2021;1272;Hernando de Soto nombra al General (R) José Williams como vocero de la bancada de Avanza País y su interlocutor con esta.;27;123;121;HDS;22;4;0
Fri Apr 16 17:51:59 +0000 2021;2660;El no tener la presidencia no quiere decir que no vayamos a construir las escalares para que el Perú no vuelva a perder contacto con la mayor parte de su población► https://t.co/R7Q2jAMO3o https://t.co/VsTyVje9Di;16;292;190;HDS;16;4;0
Mon Apr 12 23:31:16 +0000 2021;23621;"Queridos amigos, estamos en pleno proceso de conteo, en cuanto termine creo tener noticias interesantes para ustedes y el País.

Tengan fe en mi capacidad de transformar situaciones inciertas en éxitos.

Paciencia y buen ánimo.";1104;2308;2342;HDS;12;4;0
Thu Apr 08 23:42:34 +0000 2021;3727;"Cierre de Campaña en Arequipa ❤️
Gracias Perú!!!
#AvanzaPaís 
#HernandoDeSoto https://t.co/hH6wJW4vL9";37;224;271;HDS;08;4;0
Thu Apr 08 03:23:23 +0000 2021;1519;Potenciar a las empresas tanto informales como formales para salir de la crisis económica. https://t.co/0IdN5LPdCR;16;103;221;HDS;08;4;0
Thu Apr 08 02:29:52 +0000 2021;3190;Tengo más de 30 años escuchándolos, es la mejor estrategia para entender donde están los problemas. Lo seguiré haciendo para construir soluciones con ustedes.;53;446;324;HDS;08;4;0
Wed Mar 31 00:33:44 +0000 2021;1079;"Vamos a liberar los recursos del Perú. Es necesario liberar activos en pueblos jóvenes y finalmente es necesario unificar al país. La brecha es demasiado grande. @HDeSotoPeru @AvanzaPaisOf 
#DebatePresidencialJNE
#Elecciones2021
@JNE_Peru
@VotoInformado https://t.co/BtEHFfAh5R https://t.co/GHvGoLLrPX";8;98;139;HDS;31;3;0
Wed Mar 31 00:32:24 +0000 2021;1168;"En educación buscamos formar a los niños y jóvenes para el futuro.  En Educación técnica, se debe incentivar a los jovenes a crear soluciones tecnológicas en base a los problemas que tenemos en nuestro país; similar como ha hecho UBER sin grandes inversiones pero con creatividad.";27;72;210;HDS;31;3;0
Wed Mar 31 00:19:12 +0000 2021;787;"""El problema del Perú es pensar que todo va a venir de fuera. Yo quisiera ver que en las regiones del Perú se concentren en resolver problemas porque ese es el mejor aprendizaje que existe"". @AvanzaPaisOf 
#DebatePresidencialJNE
@JNE_Peru
@VotoInformado https://t.co/xTM3kbLZE2 https://t.co/LgASf8yuoM";9;52;111;HDS;31;3;0
Wed Mar 31 00:09:25 +0000 2021;663;#DebatePresidencialJNE | Hernando de Soto dice que en su Gobierno los proyectos mineros Conga y Tía María ‘sí van’ ►https://t.co/EyukFjYJWu https://t.co/z9exTKaGtI https://t.co/WT40fd553D;9;35;79;HDS;31;3;0
Wed Mar 31 00:08:40 +0000 2021;512;"Hernando de Soto sobre el COVID-19: “Tenemos un plan acabar con el problema dentro de 60 días”
https://t.co/2SyARHbT5a";5;32;63;HDS;31;3;0
Wed Mar 31 00:07:07 +0000 2021;739;"🗣 | Hernando de Soto: ""Cada vez que se trata de comprar vacunas, oxígeno, hay que pasar por muchas instituciones con un trámite bucrocrático que absorve mucho del costo total"".👉 https://t.co/pCZqkBMAnz 
#PanamericanaTelevisión #VotoResponsable2021 https://t.co/zbk1W9pJEK https://t.co/bcrgmeS0eW";8;31;101;HDS;31;3;0
Tue Mar 30 23:54:49 +0000 2021;1036;#VIDEO | Hernando de Soto a Ollanta Humala: “Yo haré que Conga sí vaya” #Debate2021ATV https://t.co/7111hDX258;7;70;129;HDS;30;3;0
Tue Mar 30 23:03:23 +0000 2021;699;"Vota por Hernando de Soto aquí:

#HernandoPresidente #PresidenteDelBicentenario #HernandoDeSoto #Debate2021

https://t.co/OmIyEpmWrr";9;57;84;HDS;30;3;0
Mon Mar 29 03:13:30 +0000 2021;3062;Recibo con mucha tranquilidad los resultados de las últimas encuestas que señalan que el mensaje de esperanza y de que sí hay posibilidades para que el Perú sea un país desarrollado, ha calado en el elector, tanto en Lima como en provincias. Muchas gracias y seguimos adelante”,;37;226;318;HDS;29;3;0
Mon Mar 29 03:03:12 +0000 2021;1150;"El Estado es una carcocha y muchos candidatos tienen una lista de Papá Noel de promesas que difícilmente se podrán cumplir. Lo que ofrezco en mi plan ha sido analizado para garantizar que se podrá cumplir.
#HernandoPresidente 
#HernandoDeSoto 
#ReyConBarba";15;83;151;HDS;29;3;0
Mon Mar 29 02:54:20 +0000 2021;4452;Querer frenar la corrupción solamente sacando a Odebrecht es como pretender curar un cáncer con Panadol. La corrupción hay que atacarla de raíz porque sino, los Odebrechts vuelven de otra forma.;215;880;663;HDS;29;3;0
Mon Mar 29 02:52:59 +0000 2021;775;"“Hay que dejar de creer que los pequeños empresarios son una virtud; no lo son.  Hay que destrabarlos para que puedan producir en grandes escalas”
#ReyConBarba 
#HernandoDeSoto
#HernandoPresidente";4;36;85;HDS;29;3;0
Mon Mar 29 01:50:29 +0000 2021;1114;"El 98% de las empresas peruanas son unipersonales, no tienen la posibilidad de hacer cadenas productivas ni participar de las licitaciones del Estado. Eso conmigo va a terminar, sé dónde está escondido el diablo para desamarrar los nudos de la formalidad.
#HernandoPresidente";11;61;149;HDS;29;3;0
Mon Mar 29 01:45:16 +0000 2021;1335;"Hay una población en el Perú que está conectada con el capitalismo mundial porque tiene privilegios y una desconectada.  Yo sé cómo hacer que el 80% de los desconectados se beneficien del libre mercado creando los puentes que hoy no tienen.
#CuartoPoder 
#HernandoDeSoto";20;70;189;HDS;29;3;0
Mon Mar 29 01:42:13 +0000 2021;1972;"Yo represento el capitalismo popular. Yo sé crear las condiciones para que los pobres puedan acceder a mecanismos para crecer.
#CuartoPoder 
#HernandoPresidente 
#HernandoDeSoto";29;155;257;HDS;29;3;0
