author;day;month;full_text;favorite_count;quote_count;reply_count;retweet_count;reply;photo;video;pm;retuit;type;score_tweet;alcance
Urresti;16;1;El APRA acaba de morir. Si nadie se opone me ofrezco a adoptar a la mascota del narcoindultador. Previa despulgada, por supuesto!!! https://t.co/w1CFMPB7Bq;637;24;258;46;0;;;;;Negative;-1;965
RLA;13;4;QUERIDOS HERMANOS PERUANOS: DEJÉ TODO EN LA CANCHA, POR MI AMOR A USTEDES..! HASTA ENFERMO Y AFÓNICO SALÍ A EXPLICAR NUESTRAS PROPUESTAS, PARA QUE PERÚ SEA POTENCIA MUNDIAL..! FRATERNO Y GRAN ABRAZO A CADA UNO DE LOS VOYANTES..!;16494;452;3321;2125;0;0;0;0;0;Positive;3;22392
RLA;8;4;Muchísimas gracias Eduardo..! La Vida y la Familía primero..! Un abrazo enorme..! Te esperamos en Perú..!;1710;11;43;351;0;0;0;0;1;Positive;5;2115
RLA;8;4;@EVerastegui Muchísimas gracias Eduardo..! La Vida y la Familía primero..! Un abrazo enorme..! Te esperamos en Perú..!;1896;5;60;304;1;0;0;0;0;Positive;5;2265
RLA;19;3;@el_analista2020 Fake. Mira comunicado. No creas a los mermeleros por favor. Abrazo.;458;2;29;82;1;;;;;Positive;3;571
RLA;5;3;@alvarezrodrich @JNE_Peru Gracias Augusto... defendamos la DEMOCRACIA...! Abajo la DICTADURA CAVIAR..! Un abrazo;205;1;12;32;1;;;;;Positive;4;250
RLA;5;3;"Un abrazo hasta el Cielo, Ángel """"Chino"""" Lui - Opus Dei https://t.co/Uvd9hiEagl";425;1;14;55;0;;;;;Positive;4;495
Urresti;8;1;Siempre sonriente nomás. Abrazos!;28;0;5;1;0;;;;;Positive;4;34
Keiko;25;2;@canalN_ Delimitar mejor la relación Ejecutivo/Congreso. Evitar el abuso de las cuestiones de confianza y de las vacancias presidenciales. Eso ya nos hizo demasiado daño a todos los peruanos.  #EntreTuits;189;43;122;46;1;;;;;Negative;-4;400
Urresti;18;3;Veo que t molesta que se haya frenado el abuso de los bancos. No importa. #ConUrrestiPresidente acabaremos con todo tipo de abusos.;18;1;4;0;0;;;;;Negative;-7;23
Urresti;18;3;"¡ES OFICIAL! ¡Se acabó el abuso de los bancos y sus salvajes intereses! Hoy se publicó la ley por la que tanto luchamos. 
Me gustaría saber dónde estaban esos candidatos presidenciales que hoy te ofrecen de todo mientras dábamos la pelea en el Congreso. #UrrestiPresidente https://t.co/6da75gHhlO";220;82;71;27;0;;;;;Negative;-2;400
Urresti;22;2;"En plena pandemia, mientras nuestros familiares o amigos estaban muriendo, las #ClínicasBuitre estaban enriqueciéndose. Eso JAMÁS lo olvidaremos.
Tampoco olvidaremos a esos candidatos presidenciales que no dijeron nada frente a este abuso y hoy ofrecen de todo solo por tu voto. https://t.co/DNcKO4ecsX";138;96;45;30;0;;;;;Negative;-6;309
RLA;15;2;En esto soy muy libertario. Que el Estado no se meta en la vida de la gente, que nos dejen ser libres, que no se meta a través de guías con ideología de género en los colegios, donde hay dinámicas para disfrazar a un niño como una niña, eso es abuso infantil.;5197;151;447;1289;0;;;;;Negative;-7;7084
Urresti;18;3;Gracias a todos por el respaldo. #ConUrrestiPresidente no habrá más abusos!;33;0;3;4;0;;;;;Negative;-2;40
